IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88,-91.71
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25,-84.47
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.13,-117.28
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41,-81.85
CLL,Easterwood Airport,College Station,TX,USA,30.59,-96.36
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21,-80.94
CMH,Port Columbus International Airport,Columbus,OH,USA,40.00,-82.89
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.04,-88.28
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.17,-88.49
CNY,Canyonlands Field,Moab,UT,USA,38.75,-109.75
COD,Yellowstone Regional Airport,Cody,WY,USA,44.52,-109.02
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.81,-104.70
COU,Columbia Regional Airport,Columbia,MO,USA,38.82,-92.22
CPR,Natrona County International Airport,Casper,WY,USA,42.91,-106.46
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77,-97.50
CRW,Yeager Airport,Charleston,WV,USA,38.37,-81.59
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.52,-84.94
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.05,-84.66
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.78,-89.67
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.18,-81.06
DAL,Dallas Love Field,Dallas,TX,USA,32.85,-96.85
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90,-84.22
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40,-90.71
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85,-77.04
DEN,Denver International Airport,Denver,CO,USA,39.86,-104.67
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.90,-97.04
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32,-85.45
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.80,-102.80
DLG,Dillingham Airport,Dillingham,AK,USA,59.05,-158.50
DLH,Duluth International Airport,Duluth,MN,USA,46.84,-92.19
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.15,-107.75
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53,-93.66
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21,-83.35
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11,-98.91
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.87,-91.49
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,38.98,-98.37
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64,-106.92
EKO,Elko Regional Airport,Elko,NV,USA,40.82,-115.79
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.16,-76.89
ELP,El Paso International Airport,El Paso,TX,USA,31.81,-106.38
ERI,Erie International Airport,Erie,PA,USA,42.08,-80.18
ESC,Delta County Airport,Escanaba,MI,USA,45.72,-87.09
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12,-123.22
EVV,Evansville Regional Airport,Evansville,IN,USA,38.04,-87.53
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA,35.07,-77.04
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.69,-74.17
EYW,Key West International Airport,Key West,FL,USA,24.56,-81.76
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81,-147.86
FAR,Hector International Airport,Fargo,ND,USA,46.92,-96.81
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.78,-119.72
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99,-78.88
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.31,-114.26
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.14,-111.67
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07,-80.15
FNT,Bishop International Airport,Flint,MI,USA,42.97,-83.74
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58,-96.74
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.34,-94.37
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.98,-85.20
GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.35,-105.54
GCK,Garden City Regional Airport,Garden City,KS,USA,37.93,-100.72
GEG,Spokane International Airport,Spokane,WA,USA,47.62,-117.53
GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.95,-97.18
GGG,East Texas Regional Airport,Longview,TX,USA,32.38,-94.71
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.12,-108.53
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69,-82.27
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.41,-89.07
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.49,-88.13
GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.97,-98.31
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.06,-97.83
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88,-85.52
GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.10,-79.94
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.90,-82.22
GST,Gustavus Airport,Gustavus,AK,USA,58.42,-135.71
GTF,Great Falls International Airport,Great Falls,MT,USA,47.48,-111.37
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45,-88.59
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53,-106.93
GUM,Guam International Airport,Agana,GU,USA,13.48,-144.80
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48,-107.22
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.39,-92.84
HLN,Helena Regional Airport,Helena,MT,USA,46.61,-111.98
HNL,Honolulu International Airport,Honolulu,HI,USA,21.32,-157.92
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.69,-103.22
HOU,William P. Hobby Airport,Houston,TX,USA,29.65,-95.28
HPN,Westchester County Airport,White Plains,NY,USA,41.07,-73.71
HRL,Valley International Airport,Harlingen,TX,USA,26.23,-97.65
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64,-86.77
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.67,-70.28
HYS,Hays Regional Airport,Hays,KS,USA,38.84,-99.27
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94,-77.46
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.11,-78.95
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98,-95.34
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.65,-97.43
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51,-112.07
ILG,Wilmington Airport,Wilmington,DE,USA,39.68,-75.61
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27,-77.90
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.82,-88.11
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.72,-86.29
INL,Falls International Airport,International Falls,MN,USA,48.57,-93.40
ISN,Sloulin Field International Airport,Williston,ND,USA,48.18,-103.64
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.80,-73.10
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49,-76.46
ITO,Hilo International Airport,Hilo,HI,USA,19.72,-155.05
JAC,Jackson Hole Airport,Jackson,WY,USA,43.61,-110.74
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31,-90.08
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49,-81.69
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.64,-73.78
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15,-94.50
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.93,-98.68
JNU,Juneau International Airport,Juneau,AK,USA,58.35,-134.58
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.74,-156.05
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.36,-131.71
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.78,-84.59
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31,-105.67
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08,-115.15
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.57,-98.42
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94,-118.41
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66,-101.82
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.28,-79.40
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.13,-93.22
LEX,Blue Grass Airport,Lexington,KY,USA,38.04,-84.61
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.21,-91.99
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.78,-73.87
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.82,-118.15
LIH,Lihue Airport,Lihue,HI,USA,21.98,-159.34
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.73,-92.22
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.85,-96.76
LRD,Laredo International Airport,Laredo,TX,USA,27.54,-99.46
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.88,-91.26
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.37,-117.02
MAF,Midland International Airport,Midland,TX,USA,31.94,-102.20
MBS,MBS International Airport,Saginaw,MI,USA,43.53,-84.08
MCI,Kansas City International Airport,Kansas City,MO,USA,39.30,-94.71
MCO,Orlando International Airport,Orlando,FL,USA,28.43,-81.32
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.19,-76.76
